
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Sat Jan 24 00:00:00 2015, 1422079200, 120, 106, 65, 21.59404, 21.60366, 21.63981, -0.37626, 0.09401, 298/900
Sat Jan 24 00:15:00 2015, 1422080100, 355, 329, 224, 21.60638, 21.60824, 21.61578, -0.48518, 0.09434, 897/900
Sat Jan 24 00:30:00 2015, 1422081000, 368, 333, 211, 21.59734, 21.59657, 21.60213, -0.44698, 0.09455, 896/900
Sat Jan 24 00:45:00 2015, 1422081900, 366, 336, 221, 21.59277, 21.59064, 21.60973, -0.56574, 0.09466, 897/900
Sat Jan 24 01:00:00 2015, 1422082800, 371, 350, 215, 21.60362, 21.59173, 21.60447, -0.77230, 0.09429, 896/900
Sat Jan 24 01:15:00 2015, 1422083700, 377, 344, 226, 21.59416, 21.59964, 21.60915, -1.17717, 0.09465, 896/900
Sat Jan 24 01:30:00 2015, 1422084600, 367, 341, 221, 21.59338, 21.59343, 21.61546, -1.13883, 0.09491, 897/900
Sat Jan 24 01:45:00 2015, 1422085500, 374, 335, 224, 21.59552, 21.58325, 21.61442, -1.00375, 0.09475, 896/900
Sat Jan 24 02:00:00 2015, 1422086400, 369, 329, 224, 21.59617, 21.58878, 21.61358, -0.84379, 0.09481, 897/900
Sat Jan 24 02:15:00 2015, 1422087300, 367, 330, 216, 21.60096, 21.60333, 21.62374, -0.19585, 0.09465, 896/900
Sat Jan 24 02:30:00 2015, 1422088200, 350, 335, 223, 21.60061, 21.59814, 21.62323, -0.09295, 0.09446, 897/900
Sat Jan 24 02:45:00 2015, 1422089100, 370, 331, 221, 21.59626, 21.58845, 21.61228, 0.05888, 0.09418, 896/900
Sat Jan 24 03:00:00 2015, 1422090000, 362, 332, 210, 21.58440, 21.58904, 21.61163, 0.16835, 0.09400, 897/900
Sat Jan 24 03:15:00 2015, 1422090900, 361, 336, 219, 21.58684, 21.58989, 21.60602, 0.05619, 0.09400, 896/900
Sat Jan 24 03:30:00 2015, 1422091800, 361, 334, 216, 21.59144, 21.58349, 21.60948, 0.17840, 0.09400, 897/900
Sat Jan 24 03:45:00 2015, 1422092700, 367, 329, 210, 21.59281, 21.59424, 21.61203, 0.33174, 0.09400, 896/900
Sat Jan 24 04:00:00 2015, 1422093600, 359, 327, 203, 21.59271, 21.59501, 21.60898, -0.04581, 0.09400, 897/900
Sat Jan 24 04:15:00 2015, 1422094500, 360, 329, 211, 21.58938, 21.58782, 21.60901, -0.40354, 0.09400, 896/900
Sat Jan 24 04:30:00 2015, 1422095400, 361, 338, 213, 21.58019, 21.57995, 21.59758, -0.51085, 0.09410, 897/900
Sat Jan 24 04:45:00 2015, 1422096300, 366, 352, 216, 21.58386, 21.57215, 21.60375, -0.75613, 0.09446, 896/900
Sat Jan 24 05:00:00 2015, 1422097200, 374, 353, 221, 21.57694, 21.57165, 21.60498, -1.05282, 0.09492, 897/900
Sat Jan 24 05:15:00 2015, 1422098100, 376, 350, 225, 21.57874, 21.57389, 21.58522, -1.29494, 0.09499, 896/900
Sat Jan 24 05:30:00 2015, 1422099000, 377, 349, 225, 21.58002, 21.57104, 21.59357, -1.56507, 0.09499, 897/900
Sat Jan 24 05:45:00 2015, 1422099900, 382, 352, 224, 21.57329, 21.57543, 21.59807, -1.58548, 0.09500, 896/900
Sat Jan 24 06:00:00 2015, 1422100800, 378, 343, 220, 21.57499, 21.57567, 21.58681, -1.48348, 0.09500, 897/900
Sat Jan 24 06:15:00 2015, 1422101700, 375, 347, 223, 21.57167, 21.57323, 21.59620, -1.26839, 0.09500, 896/900
Sat Jan 24 06:30:00 2015, 1422102600, 377, 363, 220, 21.57455, 21.56863, 21.58521, -1.61045, 0.09495, 897/900
Sat Jan 24 06:45:00 2015, 1422103500, 386, 361, 229, 21.57398, 21.56974, 21.59380, -1.64210, 0.09500, 896/900
Sat Jan 24 07:00:00 2015, 1422104400, 371, 363, 221, 21.58045, 21.57794, 21.59672, -1.77655, 0.09500, 897/900
Sat Jan 24 07:15:00 2015, 1422105300, 380, 360, 229, 21.58290, 21.57282, 21.60348, -1.94308, 0.09500, 897/900
Sat Jan 24 07:30:00 2015, 1422106200, 395, 355, 234, 21.58129, 21.56860, 21.59173, -2.13056, 0.09569, 896/900
Sat Jan 24 07:45:00 2015, 1422107100, 387, 359, 227, 21.57800, 21.57239, 21.58950, -2.08469, 0.10002, 897/900
Sat Jan 24 08:00:00 2015, 1422108000, 384, 353, 235, 21.58084, 21.57532, 21.59807, -1.83091, 0.10747, 896/900
Sat Jan 24 08:15:00 2015, 1422108900, 378, 352, 225, 21.57744, 21.57513, 21.59092, -1.66355, 0.11554, 897/900
Sat Jan 24 08:30:00 2015, 1422109800, 383, 338, 225, 21.58200, 21.58770, 21.60081, -1.39624, 0.12286, 896/900
Sat Jan 24 08:45:00 2015, 1422110700, 375, 296, 213, 21.58707, 21.59098, 21.60562, -0.89213, 0.18701, 897/900
Sat Jan 24 09:00:00 2015, 1422111600, 344, 175, 204, 21.61919, 21.64570, 21.63718, 0.16197, 0.26888, 896/900
Sat Jan 24 09:15:00 2015, 1422112500, 314, 92, 187, 21.64913, 21.70630, 21.66872, 1.06162, 0.33037, 897/900
Sat Jan 24 09:30:00 2015, 1422113400, 272, 39, 173, 21.67897, 21.74743, 21.70121, 1.69318, 0.35664, 896/900
Sat Jan 24 09:45:00 2015, 1422114300, 258, 6, 164, 21.70594, 21.91780, 21.72949, 2.02360, 0.42705, 897/900
Sat Jan 24 10:00:00 2015, 1422115200, 250, 0, 153, 21.73812, 22.57866, 21.75352, 2.41363, 0.48335, 896/900
Sat Jan 24 10:15:00 2015, 1422116100, 236, 0, 145, 21.76933, 24.42799, 21.78605, 3.15838, 0.54939, 897/900
Sat Jan 24 10:30:00 2015, 1422117000, 203, 0, 137, 21.83400, 27.33232, 21.85245, 4.14710, 0.58056, 896/900
Sat Jan 24 10:45:00 2015, 1422117900, 184, 0, 124, 21.88337, 30.27532, 21.88805, 4.66119, 0.53991, 897/900
Sat Jan 24 11:00:00 2015, 1422118800, 179, 0, 123, 21.93831, 32.84292, 21.95888, 4.60821, 0.52139, 896/900
Sat Jan 24 11:15:00 2015, 1422119700, 178, 0, 113, 21.97812, 35.17914, 21.99192, 5.56484, 0.54060, 897/900
Sat Jan 24 11:30:00 2015, 1422120600, 166, 0, 104, 22.00123, 39.44997, 22.00664, 5.83820, 0.55277, 896/900
Sat Jan 24 11:45:00 2015, 1422121500, 175, 0, 116, 21.98881, 43.36381, 22.01389, 5.91391, 0.56040, 897/900
Sat Jan 24 12:00:00 2015, 1422122400, 188, 0, 105, 21.96868, 44.77744, 21.98409, 5.83317, 0.56425, 896/900
Sat Jan 24 12:15:00 2015, 1422123300, 183, 0, 112, 21.96902, 45.71001, 21.99708, 6.16788, 0.56871, 897/900
Sat Jan 24 12:30:00 2015, 1422124200, 182, 0, 115, 21.97737, 45.98196, 21.99212, 6.40917, 0.57052, 896/900
Sat Jan 24 12:45:00 2015, 1422125100, 169, 0, 105, 22.00628, 46.54550, 22.02519, 6.95947, 0.56646, 897/900
Sat Jan 24 13:00:00 2015, 1422126000, 156, 0, 95, 22.07017, 46.96738, 22.09432, 7.53035, 0.55470, 896/900
Sat Jan 24 13:15:00 2015, 1422126900, 152, 0, 94, 22.07846, 45.13681, 22.08804, 7.70971, 0.54275, 897/900
Sat Jan 24 13:30:00 2015, 1422127800, 158, 0, 91, 22.07571, 41.78016, 22.09282, 8.04083, 0.52818, 896/900
Sat Jan 24 13:45:00 2015, 1422128700, 166, 0, 97, 22.03447, 36.69063, 22.05667, 8.11948, 0.45730, 897/900
Sat Jan 24 14:00:00 2015, 1422129600, 166, 0, 112, 22.00943, 31.75348, 22.03946, 7.94842, 0.41544, 896/900
Sat Jan 24 14:15:00 2015, 1422130500, 198, 0, 117, 21.94668, 26.88946, 21.97460, 7.66821, 0.36099, 897/900
Sat Jan 24 14:30:00 2015, 1422131400, 204, 63, 119, 21.88430, 22.23610, 21.90901, 7.62538, 0.29396, 896/900
Sat Jan 24 14:45:00 2015, 1422132300, 227, 161, 133, 21.83043, 21.85141, 21.85034, 7.35832, 0.24523, 897/900
Sat Jan 24 15:00:00 2015, 1422133200, 236, 172, 143, 21.80220, 21.81727, 21.81788, 7.02283, 0.20580, 896/900
Sat Jan 24 15:15:00 2015, 1422134100, 237, 181, 151, 21.78268, 21.79570, 21.81005, 6.56460, 0.19740, 896/900
Sat Jan 24 15:30:00 2015, 1422135000, 238, 174, 141, 21.78517, 21.79810, 21.81769, 6.81072, 0.20922, 897/900
Sat Jan 24 15:45:00 2015, 1422135900, 234, 186, 139, 21.78560, 21.79562, 21.81014, 6.51999, 0.18521, 896/900
Sat Jan 24 16:00:00 2015, 1422136800, 254, 200, 150, 21.76721, 21.77687, 21.79280, 5.98458, 0.15329, 897/900
Sat Jan 24 16:15:00 2015, 1422137700, 252, 210, 152, 21.75698, 21.76324, 21.78763, 5.65954, 0.13743, 896/900
Sat Jan 24 16:30:00 2015, 1422138600, 264, 220, 156, 21.73942, 21.73943, 21.76261, 5.20728, 0.12451, 897/900
Sat Jan 24 16:45:00 2015, 1422139500, 268, 240, 154, 21.72276, 21.72908, 21.74587, 4.33340, 0.11274, 896/900
Sat Jan 24 17:00:00 2015, 1422140400, 277, 236, 159, 21.70728, 21.70793, 21.72151, 3.83902, 0.10333, 896/900
Sat Jan 24 17:15:00 2015, 1422141300, 275, 249, 161, 21.68719, 21.68932, 21.69735, 3.41065, 0.09600, 896/900
Sat Jan 24 17:30:00 2015, 1422142200, 286, 258, 173, 21.66478, 21.66371, 21.67875, 3.16493, 0.09265, 896/900
Sat Jan 24 17:45:00 2015, 1422143100, 289, 262, 172, 21.64986, 21.65416, 21.67464, 2.77467, 0.09200, 896/900
Sat Jan 24 18:00:00 2015, 1422144000, 293, 268, 178, 21.64480, 21.64817, 21.65966, 2.50607, 0.09212, 896/900
Sat Jan 24 18:15:00 2015, 1422144900, 312, 266, 183, 21.63279, 21.63691, 21.65669, 2.14973, 0.09256, 897/900
Sat Jan 24 18:30:00 2015, 1422145800, 304, 277, 190, 21.63764, 21.63353, 21.65147, 1.95246, 0.09299, 895/900
Sat Jan 24 18:45:00 2015, 1422146700, 297, 289, 178, 21.64171, 21.64078, 21.65235, 2.05267, 0.09296, 896/900
Sat Jan 24 19:00:00 2015, 1422147600, 301, 278, 194, 21.63758, 21.63078, 21.64274, 1.62881, 0.09297, 897/900
Sat Jan 24 19:15:00 2015, 1422148500, 295, 273, 190, 21.63360, 21.63070, 21.66628, 1.49831, 0.09299, 896/900
Sat Jan 24 19:30:00 2015, 1422149400, 302, 276, 189, 21.62946, 21.63072, 21.64493, 1.43373, 0.09299, 897/900
Sat Jan 24 19:45:00 2015, 1422150300, 309, 269, 178, 21.62454, 21.62844, 21.64835, 1.47168, 0.09298, 896/900
