
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Sun Feb 15 00:00:00 2015, 1423980000, 194, 178, 111, 21.61798, 21.61020, 21.64235, -17.60858, 0.10106, 298/900
Sun Feb 15 00:15:00 2015, 1423980900, 584, 546, 355, 21.62514, 21.62575, 21.64479, -17.34724, 0.10105, 896/900
Sun Feb 15 00:30:00 2015, 1423981800, 585, 534, 348, 21.62050, 21.61985, 21.65237, -17.34729, 0.10100, 897/900
Sun Feb 15 00:45:00 2015, 1423982700, 594, 527, 357, 21.62501, 21.61877, 21.65131, -17.27234, 0.10110, 897/900
Sun Feb 15 01:00:00 2015, 1423983600, 599, 546, 351, 21.62284, 21.61319, 21.64321, -16.96674, 0.10109, 896/900
Sun Feb 15 01:15:00 2015, 1423984500, 583, 528, 359, 21.61951, 21.61971, 21.64481, -16.79395, 0.10101, 896/900
Sun Feb 15 01:30:00 2015, 1423985400, 580, 528, 340, 21.62106, 21.61609, 21.64207, -16.59159, 0.10100, 897/900
Sun Feb 15 01:45:00 2015, 1423986300, 585, 544, 336, 21.61595, 21.60626, 21.64238, -16.24490, 0.10099, 896/900
Sun Feb 15 02:00:00 2015, 1423987200, 595, 560, 359, 21.61507, 21.60913, 21.63250, -16.38695, 0.10096, 897/900
Sun Feb 15 02:15:00 2015, 1423988100, 586, 569, 337, 21.62066, 21.60677, 21.64369, -16.45318, 0.10100, 896/900
Sun Feb 15 02:30:00 2015, 1423989000, 590, 560, 353, 21.62516, 21.60929, 21.64828, -16.56981, 0.10100, 897/900
Sun Feb 15 02:45:00 2015, 1423989900, 585, 563, 345, 21.62646, 21.61466, 21.65101, -16.47281, 0.10100, 896/900
Sun Feb 15 03:00:00 2015, 1423990800, 580, 555, 351, 21.62821, 21.61800, 21.64625, -16.37388, 0.10100, 897/900
Sun Feb 15 03:15:00 2015, 1423991700, 577, 545, 342, 21.62322, 21.61354, 21.64801, -16.21200, 0.10100, 896/900
Sun Feb 15 03:30:00 2015, 1423992600, 571, 537, 344, 21.62957, 21.61893, 21.64481, -16.10919, 0.10100, 897/900
Sun Feb 15 03:45:00 2015, 1423993500, 571, 528, 327, 21.62402, 21.61840, 21.64847, -15.82390, 0.10089, 896/900
Sun Feb 15 04:00:00 2015, 1423994400, 564, 542, 338, 21.62167, 21.61325, 21.63536, -15.99940, 0.10096, 897/900
Sun Feb 15 04:15:00 2015, 1423995300, 569, 534, 344, 21.61758, 21.61931, 21.63955, -15.78256, 0.10085, 897/900
Sun Feb 15 04:30:00 2015, 1423996200, 572, 545, 347, 21.62423, 21.61446, 21.65348, -16.00191, 0.10090, 896/900
Sun Feb 15 04:45:00 2015, 1423997100, 579, 546, 342, 21.62683, 21.60818, 21.64781, -15.90625, 0.10084, 897/900
Sun Feb 15 05:00:00 2015, 1423998000, 563, 541, 345, 21.62711, 21.61607, 21.65275, -15.63345, 0.10098, 896/900
Sun Feb 15 05:15:00 2015, 1423998900, 583, 547, 337, 21.62309, 21.61905, 21.64017, -15.66230, 0.10100, 897/900
Sun Feb 15 05:30:00 2015, 1423999800, 570, 541, 337, 21.62183, 21.61508, 21.64713, -15.75451, 0.10097, 894/900
Sun Feb 15 05:45:00 2015, 1424000700, 578, 560, 346, 21.62180, 21.60639, 21.64965, -15.86970, 0.10097, 897/900
Sun Feb 15 06:00:00 2015, 1424001600, 585, 565, 337, 21.62645, 21.60953, 21.64023, -15.92748, 0.10100, 896/900
Sun Feb 15 06:15:00 2015, 1424002500, 576, 551, 345, 21.62426, 21.61147, 21.64416, -15.84742, 0.10100, 897/900
Sun Feb 15 06:30:00 2015, 1424003400, 576, 533, 344, 21.62744, 21.62034, 21.65159, -15.65283, 0.10100, 896/900
Sun Feb 15 06:45:00 2015, 1424004300, 578, 546, 332, 21.63128, 21.60792, 21.64897, -15.65327, 0.10100, 897/900
Sun Feb 15 07:00:00 2015, 1424005200, 576, 559, 348, 21.62269, 21.60440, 21.65504, -15.84957, 0.10117, 896/900
Sun Feb 15 07:15:00 2015, 1424006100, 582, 563, 333, 21.61982, 21.61885, 21.65296, -15.78571, 0.10282, 896/900
Sun Feb 15 07:30:00 2015, 1424007000, 578, 551, 341, 21.62313, 21.61724, 21.65637, -15.79913, 0.10678, 897/900
Sun Feb 15 07:45:00 2015, 1424007900, 582, 553, 340, 21.62400, 21.61497, 21.64623, -15.75750, 0.11582, 897/900
Sun Feb 15 08:00:00 2015, 1424008800, 586, 549, 337, 21.62512, 21.62236, 21.64336, -15.61587, 0.13266, 894/900
Sun Feb 15 08:15:00 2015, 1424009700, 576, 551, 344, 21.62738, 21.61065, 21.65743, -15.29918, 0.14604, 897/900
Sun Feb 15 08:30:00 2015, 1424010600, 573, 541, 348, 21.62363, 21.62211, 21.65101, -15.07020, 0.16796, 896/900
Sun Feb 15 08:45:00 2015, 1424011500, 588, 531, 343, 21.62397, 21.62226, 21.65144, -14.79308, 0.19266, 897/900
Sun Feb 15 09:00:00 2015, 1424012400, 570, 503, 340, 21.62036, 21.62269, 21.64810, -14.34565, 0.22706, 894/900
Sun Feb 15 09:15:00 2015, 1424013300, 555, 469, 340, 21.62342, 21.62019, 21.64302, -13.54021, 0.28023, 897/900
Sun Feb 15 09:30:00 2015, 1424014200, 545, 448, 333, 21.62632, 21.63280, 21.65529, -12.90677, 0.30772, 896/900
Sun Feb 15 09:45:00 2015, 1424015100, 527, 427, 314, 21.62299, 21.63236, 21.64699, -12.11842, 0.34904, 897/900
Sun Feb 15 10:00:00 2015, 1424016000, 522, 415, 318, 21.63030, 21.64042, 21.65037, -11.74069, 0.36191, 896/900
Sun Feb 15 10:15:00 2015, 1424016900, 520, 409, 310, 21.61966, 21.63235, 21.63947, -12.15553, 0.37916, 897/900
Sun Feb 15 10:30:00 2015, 1424017800, 530, 409, 312, 21.62517, 21.64123, 21.65310, -11.79203, 0.40081, 896/900
Sun Feb 15 10:45:00 2015, 1424018700, 509, 382, 297, 21.62914, 21.63766, 21.65673, -10.79389, 0.41433, 897/900
Sun Feb 15 11:00:00 2015, 1424019600, 517, 379, 294, 21.62734, 21.63299, 21.65905, -10.36905, 0.40859, 896/900
Sun Feb 15 11:15:00 2015, 1424020500, 486, 367, 284, 21.63205, 21.64937, 21.64937, -10.21442, 0.42563, 897/900
Sun Feb 15 11:30:00 2015, 1424021400, 484, 367, 274, 21.63167, 21.65372, 21.67144, -10.08337, 0.42174, 896/900
Sun Feb 15 11:45:00 2015, 1424022300, 480, 366, 283, 21.63984, 21.64949, 21.65386, -9.78691, 0.43259, 897/900
Sun Feb 15 12:00:00 2015, 1424023200, 469, 376, 278, 21.64060, 21.65417, 21.65761, -9.75462, 0.40805, 896/900
Sun Feb 15 12:15:00 2015, 1424024100, 483, 376, 299, 21.64530, 21.65135, 21.66350, -9.99635, 0.36077, 897/900
Sun Feb 15 12:30:00 2015, 1424025000, 490, 366, 283, 21.64388, 21.65045, 21.67097, -9.26825, 0.41637, 896/900
Sun Feb 15 12:45:00 2015, 1424025900, 472, 368, 271, 21.64338, 21.65923, 21.67033, -9.26618, 0.38799, 897/900
Sun Feb 15 13:00:00 2015, 1424026800, 479, 343, 281, 21.64046, 21.65973, 21.66456, -9.00728, 0.39891, 896/900
Sun Feb 15 13:15:00 2015, 1424027700, 470, 365, 294, 21.63912, 21.65494, 21.66026, -9.53844, 0.38012, 897/900
Sun Feb 15 13:30:00 2015, 1424028600, 480, 361, 283, 21.63821, 21.65348, 21.66102, -9.08108, 0.39678, 894/900
Sun Feb 15 13:45:00 2015, 1424029500, 471, 339, 288, 21.63867, 21.65253, 21.65981, -8.97100, 0.43625, 897/900
Sun Feb 15 14:00:00 2015, 1424030400, 472, 367, 278, 21.63500, 21.64647, 21.66045, -8.31420, 0.40587, 896/900
Sun Feb 15 14:15:00 2015, 1424031300, 471, 356, 267, 21.63460, 21.64613, 21.65330, -8.71750, 0.39192, 897/900
Sun Feb 15 14:30:00 2015, 1424032200, 475, 388, 280, 21.63055, 21.64109, 21.65450, -9.52127, 0.33870, 896/900
Sun Feb 15 14:45:00 2015, 1424033100, 487, 396, 282, 21.63284, 21.63817, 21.65771, -9.65398, 0.32064, 897/900
Sun Feb 15 15:00:00 2015, 1424034000, 505, 405, 285, 21.63078, 21.63777, 21.66098, -9.55116, 0.30454, 896/900
Sun Feb 15 15:15:00 2015, 1424034900, 490, 412, 294, 21.63201, 21.63540, 21.66060, -9.73278, 0.28822, 897/900
Sun Feb 15 15:30:00 2015, 1424035800, 495, 432, 281, 21.63330, 21.62942, 21.65936, -10.04048, 0.26522, 896/900
Sun Feb 15 15:45:00 2015, 1424036700, 503, 443, 298, 21.63159, 21.62073, 21.64240, -10.38688, 0.24148, 897/900
Sun Feb 15 16:00:00 2015, 1424037600, 514, 452, 300, 21.62764, 21.63037, 21.65320, -10.50039, 0.21221, 896/900
Sun Feb 15 16:15:00 2015, 1424038500, 506, 466, 299, 21.62798, 21.62027, 21.65189, -10.77894, 0.18431, 896/900
Sun Feb 15 16:30:00 2015, 1424039400, 500, 486, 291, 21.62328, 21.61691, 21.64811, -11.02357, 0.16160, 894/900
Sun Feb 15 16:45:00 2015, 1424040300, 518, 495, 307, 21.62320, 21.61322, 21.64433, -11.37761, 0.14388, 897/900
Sun Feb 15 17:00:00 2015, 1424041200, 529, 493, 304, 21.61820, 21.61874, 21.63057, -11.42763, 0.13081, 896/900
Sun Feb 15 17:15:00 2015, 1424042100, 537, 504, 319, 21.62195, 21.61455, 21.64533, -11.66853, 0.11984, 897/900
Sun Feb 15 17:30:00 2015, 1424043000, 539, 509, 317, 21.61335, 21.61081, 21.65430, -11.69024, 0.10974, 896/900
Sun Feb 15 17:45:00 2015, 1424043900, 535, 501, 318, 21.62784, 21.61668, 21.65533, -11.81150, 0.10285, 897/900
Sun Feb 15 18:00:00 2015, 1424044800, 527, 504, 312, 21.62286, 21.61518, 21.64203, -11.68150, 0.10029, 896/900
Sun Feb 15 18:15:00 2015, 1424045700, 537, 505, 308, 21.62395, 21.62370, 21.64877, -11.70636, 0.09955, 897/900
Sun Feb 15 18:30:00 2015, 1424046600, 532, 504, 322, 21.62304, 21.61825, 21.65000, -11.70602, 0.09950, 896/900
Sun Feb 15 18:45:00 2015, 1424047500, 525, 497, 322, 21.62287, 21.61737, 21.64594, -11.66077, 0.09956, 897/900
Sun Feb 15 19:00:00 2015, 1424048400, 525, 499, 307, 21.62399, 21.61623, 21.66136, -11.59236, 0.09928, 896/900
Sun Feb 15 19:15:00 2015, 1424049300, 518, 499, 317, 21.62934, 21.62821, 21.64991, -11.58399, 0.09924, 897/900
Sun Feb 15 19:30:00 2015, 1424050200, 527, 489, 304, 21.62978, 21.61831, 21.65185, -11.50906, 0.09910, 896/900
Sun Feb 15 19:45:00 2015, 1424051100, 524, 492, 306, 21.63693, 21.62214, 21.65484, -11.49109, 0.09918, 897/900
Sun Feb 15 20:00:00 2015, 1424052000, 514, 489, 320, 21.62922, 21.62386, 21.66186, -11.45652, 0.09928, 896/900
Sun Feb 15 20:15:00 2015, 1424052900, 518, 479, 301, 21.63416, 21.62930, 21.65374, -11.31312, 0.09929, 896/900
Sun Feb 15 20:30:00 2015, 1424053800, 518, 484, 309, 21.62909, 21.62193, 21.64507, -11.22383, 0.09907, 897/900
Sun Feb 15 20:45:00 2015, 1424054700, 505, 482, 304, 21.62818, 21.62233, 21.64802, -11.03879, 0.09902, 896/900
Sun Feb 15 21:00:00 2015, 1424055600, 510, 483, 308, 21.62914, 21.62188, 21.65025, -10.98672, 0.09903, 897/900
Sun Feb 15 21:15:00 2015, 1424056500, 509, 477, 301, 21.63598, 21.63360, 21.64825, -10.98373, 0.09908, 896/900
Sun Feb 15 21:30:00 2015, 1424057400, 509, 475, 299, 21.62792, 21.63083, 21.65260, -10.89718, 0.09902, 897/900
Sun Feb 15 21:45:00 2015, 1424058300, 504, 475, 299, 21.64087, 21.62748, 21.65380, -10.84345, 0.09900, 896/900
Sun Feb 15 22:00:00 2015, 1424059200, 509, 482, 312, 21.63262, 21.62129, 21.65801, -10.86620, 0.09902, 897/900
Sun Feb 15 22:15:00 2015, 1424060100, 516, 488, 302, 21.63749, 21.62080, 21.65587, -10.90500, 0.09901, 896/900
Sun Feb 15 22:30:00 2015, 1424061000, 507, 483, 296, 21.63151, 21.62681, 21.65183, -10.87415, 0.09900, 897/900
Sun Feb 15 22:45:00 2015, 1424061900, 513, 489, 307, 21.62603, 21.63235, 21.64082, -10.85908, 0.09901, 896/900
Sun Feb 15 23:00:00 2015, 1424062800, 516, 483, 302, 21.62994, 21.62350, 21.65197, -10.83122, 0.09900, 897/900
Sun Feb 15 23:15:00 2015, 1424063700, 519, 481, 310, 21.63817, 21.62569, 21.66160, -10.84206, 0.09900, 897/900
Sun Feb 15 23:30:00 2015, 1424064600, 497, 473, 306, 21.63300, 21.62691, 21.65240, -10.80069, 0.09900, 896/900
Sun Feb 15 23:45:00 2015, 1424065500, 500, 485, 297, 21.62703, 21.62636, 21.64726, -10.84454, 0.09900, 897/900
Mon Feb 16 00:00:00 2015, 1424066400, 512, 472, 299, 21.63068, 21.62780, 21.65457, -10.83482, 0.09900, 895/900
Mon Feb 16 00:15:00 2015, 1424067300, 370, 353, 211, 21.63452, 21.62789, 21.65615, -10.83782, 0.09900, 645/900
