Date/Time,Epoch,V1,V2,V3,T1,T2,T3,T4,Sol,FailureCount
2018-05-21_09-53-48,1526914428,-0.0,-0.001,-0.001,22.093,22.12,22.137,22.322,0.093,0
2018-05-21_09-53-51,1526914431,-0.0,-0.001,-0.001,22.093,22.119,22.139,22.319,0.093,0
2018-05-21_09-53-54,1526914434,-0.0,-0.001,-0.001,22.092,22.118,22.141,22.325,0.093,0
2018-05-21_09-53-57,1526914437,-0.0,-0.001,-0.001,22.089,22.116,22.14,22.322,0.093,0
2018-05-21_09-54-00,1526914440,-0.0,-0.001,-0.001,22.091,22.119,22.143,22.326,0.093,0
2018-05-21_09-54-03,1526914443,-0.0,-0.001,-0.001,22.088,22.117,22.145,22.329,0.093,0
2018-05-21_09-54-06,1526914446,-0.0,-0.001,-0.001,22.088,22.117,22.148,22.326,0.093,0
2018-05-21_09-54-09,1526914449,-0.0,-0.001,-0.001,22.086,22.115,22.148,22.325,0.093,0
2018-05-21_09-54-12,1526914452,-0.0,-0.001,-0.001,22.088,22.118,22.15,22.323,0.093,0
2018-05-21_09-54-15,1526914455,-0.0,-0.001,-0.001,22.088,22.117,22.149,22.323,0.093,0
2018-05-21_09-54-18,1526914458,-0.0,-0.001,-0.001,22.087,22.114,22.149,22.316,0.093,0
2018-05-21_09-54-21,1526914461,-0.0,-0.001,-0.001,22.085,22.115,22.153,22.315,0.093,0
2018-05-21_09-54-24,1526914464,-0.0,-0.001,-0.001,22.088,22.112,22.153,22.319,0.093,0
2018-05-21_09-54-27,1526914467,-0.0,-0.001,-0.001,22.086,22.114,22.155,22.32,0.093,0
2018-05-21_09-54-30,1526914470,-0.0,-0.001,-0.001,22.085,22.115,22.155,22.321,0.093,0
2018-05-21_09-54-33,1526914473,-0.0,-0.001,-0.001,22.085,22.114,22.157,22.32,0.093,0
2018-05-21_09-54-36,1526914476,-0.0,-0.001,-0.001,22.084,22.115,22.157,22.32,0.093,0
2018-05-21_09-54-39,1526914479,-0.0,-0.001,-0.001,22.086,22.113,22.159,22.32,0.093,0
2018-05-21_09-54-42,1526914482,-0.0,-0.001,-0.001,22.083,22.113,22.158,22.322,0.093,0
2018-05-21_09-54-45,1526914485,-0.0,-0.001,-0.001,22.084,22.114,22.16,22.321,0.093,0
2018-05-21_09-54-48,1526914488,-0.0,-0.001,-0.001,22.085,22.112,22.159,22.316,0.093,0
2018-05-21_09-54-51,1526914491,-0.0,-0.001,-0.001,22.082,22.112,22.161,22.316,0.093,0
2018-05-21_09-54-54,1526914494,-0.0,-0.001,-0.001,22.082,22.111,22.161,22.319,0.093,0
2018-05-21_09-54-57,1526914497,-0.0,-0.001,-0.001,22.081,22.111,22.161,22.32,0.092,0
2018-05-21_09-55-00,1526914500,-0.0,-0.001,-0.001,22.082,22.108,22.16,22.322,0.093,0
2018-05-21_09-55-03,1526914503,-0.0,-0.001,-0.001,22.08,22.111,22.161,22.321,0.093,0
2018-05-21_09-55-06,1526914506,-0.0,-0.001,-0.001,22.08,22.111,22.163,22.32,0.093,0
2018-05-21_09-55-09,1526914509,-0.0,-0.001,-0.001,22.082,22.112,22.162,22.323,0.093,0
2018-05-21_09-55-12,1526914512,-0.0,-0.001,-0.001,22.081,22.11,22.163,22.324,0.093,0
2018-05-21_09-55-15,1526914515,-0.0,-0.001,-0.001,22.079,22.11,22.16,22.323,0.093,0
2018-05-21_09-55-18,1526914518,-0.0,-0.001,-0.001,22.079,22.11,22.161,22.32,0.093,0
2018-05-21_09-55-21,1526914521,-0.0,-0.001,-0.001,22.077,22.109,22.162,22.316,0.093,0
2018-05-21_09-55-24,1526914525,-0.0,-0.001,-0.001,22.077,22.108,22.161,22.317,0.093,0
2018-05-21_09-55-28,1526914528,-0.0,-0.001,-0.001,22.077,22.108,22.162,22.321,0.093,0
2018-05-21_09-55-31,1526914531,-0.0,-0.001,-0.001,22.078,22.108,22.166,22.321,0.093,0
2018-05-21_09-55-34,1526914534,-0.0,-0.001,-0.001,22.078,22.11,22.161,22.32,0.093,0
2018-05-21_09-55-37,1526914537,-0.0,-0.001,-0.001,22.077,22.107,22.161,22.315,0.093,0
2018-05-21_09-55-40,1526914540,-0.0,-0.001,-0.001,22.075,22.108,22.16,22.316,0.093,0
2018-05-21_09-55-43,1526914543,-0.0,-0.001,-0.001,22.075,22.106,22.16,22.317,0.093,0
2018-05-21_09-55-46,1526914546,-0.0,-0.001,-0.001,22.073,22.106,22.162,22.318,0.093,0
2018-05-21_09-55-49,1526914549,-0.0,-0.001,-0.001,22.074,22.106,22.161,22.318,0.093,0
2018-05-21_09-55-52,1526914552,-0.0,-0.001,-0.001,22.074,22.106,22.159,22.317,0.093,0
2018-05-21_09-55-55,1526914555,-0.0,-0.001,-0.001,22.073,22.104,22.159,22.319,0.093,0
2018-05-21_09-55-58,1526914558,-0.0,-0.001,-0.001,22.074,22.102,22.158,22.321,0.093,0
2018-05-21_09-56-01,1526914561,-0.0,-0.001,-0.001,22.072,22.104,22.161,22.321,0.093,0
2018-05-21_09-56-04,1526914564,-0.0,-0.001,-0.001,22.073,22.103,22.159,22.319,0.093,0
2018-05-21_09-56-07,1526914567,-0.0,-0.001,-0.001,22.072,22.101,22.159,22.316,0.093,0
2018-05-21_09-56-10,1526914570,-0.0,-0.001,-0.001,22.072,22.107,22.156,22.315,0.093,0
