
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Tue Feb  3 10:30:00 2015, 1422981000, 183, 160, 113, 21.64469, 21.65572, 21.66338, -6.91927, 0.23175, 393/900
Tue Feb  3 10:45:00 2015, 1422981900, 441, 369, 266, 21.64364, 21.64127, 21.66022, -7.00004, 0.22950, 896/900
Tue Feb  3 11:00:00 2015, 1422982800, 442, 374, 271, 21.64200, 21.63610, 21.65784, -7.11348, 0.23014, 895/900
Tue Feb  3 11:15:00 2015, 1422983700, 438, 371, 263, 21.64605, 21.63834, 21.65424, -6.28077, 0.25886, 896/900
Tue Feb  3 11:30:00 2015, 1422984600, 434, 359, 265, 21.64501, 21.64576, 21.67242, -5.88766, 0.27059, 897/900
Tue Feb  3 11:45:00 2015, 1422985500, 426, 359, 253, 21.64476, 21.65060, 21.66779, -5.75873, 0.26380, 896/900
Tue Feb  3 12:00:00 2015, 1422986400, 413, 350, 263, 21.64671, 21.65563, 21.66911, -5.06029, 0.27581, 897/900
Tue Feb  3 12:15:00 2015, 1422987300, 410, 368, 246, 21.65274, 21.65688, 21.67669, -5.28045, 0.25310, 896/900
Tue Feb  3 12:30:00 2015, 1422988200, 404, 374, 245, 21.65774, 21.66124, 21.67548, -5.94168, 0.22031, 897/900
Tue Feb  3 12:45:00 2015, 1422989100, 413, 372, 235, 21.65792, 21.65887, 21.67288, -5.77694, 0.21658, 896/900
Tue Feb  3 13:00:00 2015, 1422990000, 408, 372, 233, 21.65566, 21.65364, 21.68293, -5.75998, 0.19430, 897/900
Tue Feb  3 13:15:00 2015, 1422990900, 397, 367, 245, 21.65846, 21.65611, 21.68170, -6.21310, 0.18690, 896/900
Tue Feb  3 13:30:00 2015, 1422991800, 383, 349, 241, 21.66395, 21.67023, 21.68553, -6.05350, 0.20139, 897/900
Tue Feb  3 13:45:00 2015, 1422992700, 405, 354, 240, 21.66953, 21.66236, 21.68772, -6.43994, 0.19545, 896/900
Tue Feb  3 14:00:00 2015, 1422993600, 397, 342, 244, 21.67269, 21.66859, 21.68954, -6.24968, 0.19051, 897/900
Tue Feb  3 14:15:00 2015, 1422994500, 384, 321, 222, 21.67635, 21.67625, 21.70296, -5.45118, 0.19423, 896/900
Tue Feb  3 14:30:00 2015, 1422995400, 387, 343, 226, 21.67604, 21.68063, 21.70118, -6.41777, 0.16435, 897/900
Tue Feb  3 14:45:00 2015, 1422996300, 391, 349, 218, 21.67515, 21.67713, 21.69248, -6.38651, 0.16033, 896/900
Tue Feb  3 15:00:00 2015, 1422997200, 386, 354, 230, 21.67507, 21.68181, 21.70146, -6.53869, 0.15788, 897/900
Tue Feb  3 15:15:00 2015, 1422998100, 412, 354, 232, 21.67052, 21.67154, 21.69043, -6.73676, 0.15022, 896/900
Tue Feb  3 15:30:00 2015, 1422999000, 401, 371, 230, 21.67062, 21.66750, 21.68173, -7.05196, 0.14623, 896/900
Tue Feb  3 15:45:00 2015, 1422999900, 409, 354, 227, 21.66780, 21.67134, 21.69667, -6.90622, 0.13829, 897/900
Tue Feb  3 16:00:00 2015, 1423000800, 420, 374, 236, 21.67341, 21.66799, 21.68876, -7.40395, 0.13285, 896/900
Tue Feb  3 16:15:00 2015, 1423001700, 413, 381, 247, 21.67029, 21.66135, 21.68032, -7.71941, 0.12584, 897/900
Tue Feb  3 16:30:00 2015, 1423002600, 416, 379, 259, 21.66293, 21.66147, 21.67545, -7.72173, 0.11985, 896/900
Tue Feb  3 16:45:00 2015, 1423003500, 428, 391, 254, 21.66447, 21.66112, 21.68906, -7.88432, 0.11341, 896/900
Tue Feb  3 17:00:00 2015, 1423004400, 418, 403, 243, 21.66354, 21.65447, 21.68243, -8.17910, 0.10532, 896/900
Tue Feb  3 17:15:00 2015, 1423005300, 427, 391, 261, 21.65962, 21.65183, 21.68448, -8.36457, 0.10041, 897/900
Tue Feb  3 17:30:00 2015, 1423006200, 436, 398, 250, 21.65614, 21.64615, 21.67826, -8.64080, 0.09709, 896/900
Tue Feb  3 17:45:00 2015, 1423007100, 437, 413, 254, 21.63913, 21.64612, 21.66837, -8.68230, 0.09591, 897/900
Tue Feb  3 18:00:00 2015, 1423008000, 428, 400, 253, 21.64216, 21.63508, 21.66371, -8.69982, 0.09589, 897/900
Tue Feb  3 18:15:00 2015, 1423008900, 438, 416, 258, 21.64170, 21.63290, 21.65871, -8.79988, 0.09568, 896/900
Tue Feb  3 18:30:00 2015, 1423009800, 445, 402, 262, 21.64206, 21.63431, 21.66272, -8.76087, 0.09567, 897/900
Tue Feb  3 18:45:00 2015, 1423010700, 429, 394, 263, 21.64183, 21.63714, 21.66255, -8.72535, 0.09598, 896/900
Tue Feb  3 19:00:00 2015, 1423011600, 440, 383, 269, 21.64025, 21.63518, 21.66134, -8.67663, 0.09600, 897/900
Tue Feb  3 19:15:00 2015, 1423012500, 436, 402, 267, 21.63615, 21.64149, 21.65856, -8.69146, 0.09600, 896/900
Tue Feb  3 19:30:00 2015, 1423013400, 431, 401, 260, 21.64013, 21.63674, 21.65544, -8.72068, 0.09600, 897/900
Tue Feb  3 19:45:00 2015, 1423014300, 436, 380, 258, 21.63744, 21.63682, 21.65228, -8.70398, 0.09600, 896/900
Tue Feb  3 20:00:00 2015, 1423015200, 436, 406, 270, 21.63565, 21.63999, 21.66060, -8.75203, 0.09602, 897/900
Tue Feb  3 20:15:00 2015, 1423016100, 449, 386, 263, 21.64309, 21.63892, 21.65402, -8.74639, 0.09601, 896/900
Tue Feb  3 20:30:00 2015, 1423017000, 436, 407, 265, 21.63787, 21.63453, 21.65925, -8.70862, 0.09600, 895/900
Tue Feb  3 20:45:00 2015, 1423017900, 421, 396, 265, 21.63557, 21.63436, 21.65126, -8.64736, 0.09600, 896/900
Tue Feb  3 21:00:00 2015, 1423018800, 428, 406, 254, 21.64255, 21.63402, 21.65948, -8.66925, 0.09600, 897/900
Tue Feb  3 21:15:00 2015, 1423019700, 431, 399, 259, 21.64154, 21.63837, 21.65934, -8.70345, 0.09600, 896/900
Tue Feb  3 21:30:00 2015, 1423020600, 432, 405, 270, 21.64979, 21.64214, 21.66400, -8.74532, 0.09600, 897/900
Tue Feb  3 21:45:00 2015, 1423021500, 415, 405, 265, 21.63867, 21.63533, 21.65991, -8.80919, 0.09600, 896/900
Tue Feb  3 22:00:00 2015, 1423022400, 435, 399, 273, 21.63871, 21.63441, 21.65973, -8.80654, 0.09600, 897/900
Tue Feb  3 22:15:00 2015, 1423023300, 430, 410, 250, 21.64082, 21.63692, 21.65971, -8.56220, 0.09600, 896/900
Tue Feb  3 22:30:00 2015, 1423024200, 430, 390, 266, 21.64991, 21.63902, 21.66976, -8.43916, 0.09600, 896/900
Tue Feb  3 22:45:00 2015, 1423025100, 439, 398, 253, 21.64957, 21.63870, 21.66307, -8.53189, 0.09609, 897/900
Tue Feb  3 23:00:00 2015, 1423026000, 430, 409, 248, 21.64481, 21.64518, 21.67092, -8.47759, 0.09638, 896/900
Tue Feb  3 23:15:00 2015, 1423026900, 434, 406, 259, 21.64590, 21.64396, 21.66698, -8.39575, 0.09604, 897/900
Tue Feb  3 23:30:00 2015, 1423027800, 435, 404, 268, 21.64462, 21.63730, 21.66189, -8.44137, 0.09600, 897/900
