
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Tue Feb  3 00:00:00 2015, 1422943200, 183, 172, 104, 21.61939, 21.61210, 21.64805, -13.11252, 0.10003, 298/900
Tue Feb  3 00:15:00 2015, 1422944100, 532, 512, 330, 21.62300, 21.61173, 21.65361, -13.07493, 0.10001, 896/900
Tue Feb  3 00:30:00 2015, 1422945000, 546, 505, 329, 21.62898, 21.62662, 21.66040, -13.04265, 0.10001, 897/900
Tue Feb  3 00:45:00 2015, 1422945900, 540, 515, 331, 21.62809, 21.62257, 21.64233, -13.23232, 0.10001, 896/900
Tue Feb  3 01:00:00 2015, 1422946800, 557, 518, 322, 21.63002, 21.62568, 21.64647, -13.26858, 0.10005, 897/900
Tue Feb  3 01:15:00 2015, 1422947700, 552, 518, 329, 21.62203, 21.61694, 21.64660, -13.34326, 0.10004, 896/900
Tue Feb  3 01:30:00 2015, 1422948600, 553, 520, 336, 21.62967, 21.62363, 21.65100, -13.33464, 0.10009, 897/900
Tue Feb  3 01:45:00 2015, 1422949500, 540, 499, 322, 21.62116, 21.62981, 21.65135, -13.42371, 0.10019, 896/900
Tue Feb  3 02:00:00 2015, 1422950400, 553, 524, 324, 21.62279, 21.62575, 21.65457, -13.50362, 0.10016, 897/900
Tue Feb  3 02:15:00 2015, 1422951300, 540, 510, 328, 21.62916, 21.62444, 21.65578, -13.67878, 0.10009, 896/900
Tue Feb  3 02:30:00 2015, 1422952200, 545, 506, 334, 21.62360, 21.62249, 21.66034, -13.80489, 0.10008, 897/900
Tue Feb  3 02:45:00 2015, 1422953100, 547, 533, 319, 21.63062, 21.61872, 21.65950, -13.80188, 0.10017, 896/900
Tue Feb  3 03:00:00 2015, 1422954000, 563, 521, 335, 21.63012, 21.61758, 21.65401, -13.90408, 0.10009, 897/900
Tue Feb  3 03:15:00 2015, 1422954900, 548, 516, 339, 21.62202, 21.61399, 21.65175, -13.97630, 0.10016, 896/900
Tue Feb  3 03:30:00 2015, 1422955800, 546, 513, 324, 21.62312, 21.61230, 21.65330, -13.93461, 0.10014, 897/900
