timestamp, epochseconds, V1, V2, V3, C1, C2, C3, C4, Sun
Mon Feb  2 23:55:01 2015, 1422942901, -0.000, 4.817, -0.000, 21.637, 21.622, 21.686, -13.111, 0.100
Mon Feb  2 23:55:02 2015, 1422942902, -0.000, -0.001, -0.000, 21.635, 21.607, 21.672, -13.112, 0.100
Mon Feb  2 23:55:03 2015, 1422942903, -0.000, -0.001, -0.000, 21.619, 21.580, 21.647, -13.112, 0.100
Mon Feb  2 23:55:04 2015, 1422942904, 4.820, 4.818, -0.000, 21.614, 21.585, 21.647, -13.113, 0.100
Mon Feb  2 23:55:05 2015, 1422942905, 4.820, 4.818, -0.000, 21.614, 21.585, 21.628, -13.109, 0.100
Mon Feb  2 23:55:06 2015, 1422942906, 4.820, 4.817, -0.000, 21.625, 21.598, 21.611, -13.107, 0.100
Mon Feb  2 23:55:07 2015, 1422942907, 4.820, 4.817, 4.822, 21.635, 21.611, 21.627, -13.102, 0.100
Mon Feb  2 23:55:08 2015, 1422942908, 4.820, 4.817, 4.822, 21.641, 21.629, 21.660, -13.096, 0.100
Mon Feb  2 23:55:09 2015, 1422942909, -0.000, 4.818, -0.000, 21.638, 21.647, 21.662, -13.096, 0.100
Mon Feb  2 23:55:10 2015, 1422942910, -0.000, 4.818, -0.000, 21.621, 21.647, 21.662, -13.101, 0.100
Mon Feb  2 23:55:11 2015, 1422942911, -0.000, -0.000, -0.000, 21.621, 21.663, 21.645, -13.097, 0.100
Mon Feb  2 23:55:12 2015, 1422942912, -0.000, -0.000, -0.000, 21.605, 21.658, 21.626, -13.098, 0.100
Mon Feb  2 23:55:13 2015, 1422942913, -0.000, -0.001, -0.000, 21.588, 21.641, 21.608, -13.103, 0.100
Mon Feb  2 23:55:14 2015, 1422942914, 4.820, 4.818, -0.000, 21.585, 21.643, 21.589, -13.103, 0.100
Mon Feb  2 23:55:15 2015, 1422942915, 4.820, 4.818, -0.000, 21.597, 21.659, 21.589, -13.107, 0.100
Mon Feb  2 23:55:16 2015, 1422942916, -0.000, -0.001, -0.000, 21.591, 21.659, 21.575, -13.106, 0.100
Mon Feb  2 23:55:17 2015, 1422942917, -0.000, -0.001, -0.000, 21.591, 21.653, 21.556, -13.108, 0.100
Mon Feb  2 23:55:18 2015, 1422942918, 4.820, -0.001, -0.000, 21.570, 21.633, 21.536, -13.112, 0.100
Mon Feb  2 23:55:19 2015, 1422942919, 4.820, -0.001, -0.000, 21.574, 21.613, 21.520, -13.117, 0.100
Mon Feb  2 23:55:20 2015, 1422942920, 4.820, -0.001, 4.822, 21.580, 21.587, 21.543, -13.117, 0.100
Mon Feb  2 23:55:21 2015, 1422942921, 4.820, 4.818, 4.822, 21.586, 21.581, 21.543, -13.119, 0.100
Mon Feb  2 23:55:22 2015, 1422942922, 4.820, 4.817, 4.822, 21.586, 21.581, 21.569, -13.120, 0.100
