
datetime, epochseconds, L1, L2, L3, C1, C2, C3, C4, Sun, eventdensity
Tue Feb 24 00:00:00 2015, 1424757600, 150, 146, 93, 21.64322, 21.64106, 21.65201, -4.79844, 0.09714, 298/900
Tue Feb 24 00:15:00 2015, 1424758500, 451, 418, 261, 21.64490, 21.63776, 21.66145, -4.69691, 0.09703, 897/900
Tue Feb 24 00:30:00 2015, 1424759400, 446, 445, 267, 21.65003, 21.64058, 21.67947, -4.80772, 0.09700, 896/900
Tue Feb 24 00:45:00 2015, 1424760300, 437, 421, 257, 21.65365, 21.64848, 21.65906, -4.93725, 0.09700, 895/900
Tue Feb 24 01:00:00 2015, 1424761200, 443, 430, 258, 21.65297, 21.63946, 21.67847, -5.14211, 0.09702, 896/900
Tue Feb 24 01:15:00 2015, 1424762100, 432, 424, 272, 21.65333, 21.64495, 21.68175, -5.12605, 0.09704, 897/900
Tue Feb 24 01:30:00 2015, 1424763000, 441, 426, 252, 21.65376, 21.65251, 21.68709, -4.97882, 0.09702, 896/900
Tue Feb 24 01:45:00 2015, 1424763900, 439, 415, 254, 21.65847, 21.64530, 21.68212, -4.66853, 0.09700, 897/900
Tue Feb 24 02:00:00 2015, 1424764800, 433, 413, 260, 21.65788, 21.64989, 21.66842, -4.32548, 0.09700, 896/900
Tue Feb 24 02:15:00 2015, 1424765700, 428, 407, 243, 21.66261, 21.65457, 21.68570, -3.92740, 0.09700, 896/900
Tue Feb 24 02:30:00 2015, 1424766600, 407, 410, 252, 21.65427, 21.64391, 21.67802, -3.50804, 0.09699, 897/900
Tue Feb 24 02:45:00 2015, 1424767500, 412, 393, 254, 21.65472, 21.64967, 21.67563, -3.10169, 0.09679, 896/900
Tue Feb 24 03:00:00 2015, 1424768400, 402, 393, 242, 21.65915, 21.65648, 21.67916, -2.85447, 0.09631, 897/900
Tue Feb 24 03:15:00 2015, 1424769300, 412, 384, 234, 21.67233, 21.65606, 21.68545, -2.62844, 0.09601, 896/900
Tue Feb 24 03:30:00 2015, 1424770200, 394, 378, 241, 21.66872, 21.66623, 21.68492, -2.26623, 0.09600, 897/900
Tue Feb 24 03:45:00 2015, 1424771100, 396, 384, 233, 21.67200, 21.65667, 21.69916, -1.87660, 0.09600, 896/900
Tue Feb 24 04:00:00 2015, 1424772000, 396, 367, 226, 21.67617, 21.67331, 21.69809, -1.54725, 0.09600, 896/900
Tue Feb 24 04:15:00 2015, 1424772900, 400, 368, 226, 21.66675, 21.66595, 21.70235, -1.46242, 0.09594, 897/900
Tue Feb 24 04:30:00 2015, 1424773800, 388, 363, 226, 21.67544, 21.67516, 21.70275, -1.40329, 0.09585, 896/900
